"	PU
เทพไท	NN
"	PU
ชี้	VV
นปช.	NN
ระบุย	VV
อด	NN
รายชื่อ	NN
ถวาย	VV
ฎีกาก	NN
ว่า	CC
5	NU
ล้าน	NU
คน	CL
อาจ	AX
เป็น	VV
การ	FX
โฆษณา	VV
ชวน	VV
เชื่อ	VV

โฆษก	NN
ประจำ	VV
ตัว	NN
หัวหน้า	NN
พรรค	NN
ประชาธิปัตย์	NN
ตั้ง	VV
ข้อ	NN
สังเกต	VV
กลุ่ม	NN
นปช.	NN
ระบุ	VV
มี	VV
ยอด	NN
รายชื่อ	NN
ประชาชน	NN
กว่า	AJ
5	NU
ล้าน	NU
คน	CL
เข้า	VV
ชื่อ	NN
ถวาย	VV
ฎีกาฯ	NN
อาจ	AX
เป็น	VV
การ	FX
โฆษณา	VV
ชวน	VV
เชื่อ	VV
และ	CC
เกรง	VV
ว่า	CC
จะ	AX
นำ	VV
ไป	AV
สู่	PS
ความ	FX
ขัดแย้ง	VV

นาย	NN
เทพไท	NN
เสนพงศ์	NN
โฆษก	NN
ประจำ	VV
ตัว	NN
หัวหน้า	NN
พรรค	NN
ประชาธิปัตย์	NN
ตั้ง	VV
ข้อ	NN
สังเกต	VV
เกี่ยวกับ	VV
ยอด	NN
รายชื่อ	NN
ประชาชน	NN
กว่า	AJ
5	NU
ล้าน	NU
คน	CL
ที่	CC
เข้า	VV
ชื่อ	NN
ถวาย	VV
ฎีกา	NN
เพื่อ	CC
ขอ	VV
พระราชทาน	VV
อภัยโทษ	NN
ให้	CC
พ.	NN
ต.	NN
ท.	NN
ทักษิณ	NN
ชินวัตร	NN
อดีต	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
นั้น	AJ
เป็นจริง	VV
หรือไม่	AV

เนื่องจาก	CC
ที่	CC
ผ่าน	VV
มา	AV
ไม่	NG
เห็น	VV
ความ	FX
เคลื่อนไหว	VV
ที่	CC
เป็น	VV
รูปธรรม	NN
อีกทั้ง	CC
การ	FX
รวบรวม	VV
รายชื่อ	NN
5	NU
ล้าน	NU
รายชื่อ	NN
ควร	AX
ใช้	VV
เวลา	NN
มาก	VV
กว่า	PS
นี้	PR
ซึ่ง	CC
กรณี	NN
ดัง	AJ
กล่าว	AJ
เกรง	VV
ว่า	CC
จะ	AX
เป็น	VV
การ	FX
โฆษณา	VV
ชวน	VV
เชื่อ	VV
เพื่อให้	CC
ประชาชน	NN
ลงชื่อ	NN
เพิ่มเติม	VV
และ	CC
เป็น	VV
การ	FX
เรียก	VV
ค่า	NN
ตอบแทน	VV
จาก	PS
พ.	NN
ต.	NN
ท.	NN
ทักษิณ	NN

นอกจากนี้	PS
เกรง	VV
ว่า	CC
เรื่อง	NN
ดัง	AJ
กล่าว	AJ
จะ	AX
เป็น	VV
ความ	FX
ขัดแย้ง	VV
ที่	CC
อาจ	AX
จะ	AX
มี	VV
ความ	FX
รุนแรง	VV
มาก	VV
กว่า	PS
ใน	PS
เดือน	NN
เมษายน	NN
ที่	CC
ผ่าน	VV
มา	AV

โฆษก	NN
ประจำ	VV
ตัว	NN
หัวหน้า	NN
พรรค	NN
ประชาธิปัตย์	NN
ยัง	AX
กล่าว	VV
ถึง	PS
กรณีที่	CC
นาย	NN
เรืองไกร	NN
ลีกิจ	NN
วัฒนะส	NN
.	NN
ว.	NN
สรรหา	VV
ยื่น	VV
เรื่อง	NN
ให้	CC
คณะ	NN
กรรมการการ	NN
เลือกตั้ง	VV
หรือก	CC
กต.	NN
ตรวจสอบ	VV
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ว่า	CC
ตนเอง	PR
ตรวจสอบ	VV
กฎหมาย	NN
ที่	CC
นาย	NN
เรืองไกร	NN
อ้าง	VV
ประกอบการ	VV
ยื่น	VV
เรื่อง	NN
ไม่	NG
พบ	VV
ว่า	CC
คำสั่ง	NN
ของ	PS
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
เอื้อ	VV
ประโยชน์	NN
ให้	CC
กับ	PS
ผู้	FX
ใด	AJ
และ	CC
ไม่	NG
เข้า	VV
ข่าย	NN
ข้อ	NN
กฎหมาย	NN
ตามที่	CC
นาย	NN
เรืองไกร	NN
ยื่น	VV

ทั้งนี้	CC
ตนเอง	PR
ขอ	VV
ให้	CC
นาย	NN
เรืองไกร	NN
มี	VV
ความ	FX
รอบคอบ	VV
มาก	VV
กว่า	PS
นี้	AJ
เนื่องจาก	CC
ปัจจุบัน	NN
กกต.	NN
ก็	CC
มี	VV
สำนวน	NN
เรื่อง	NN
ร้องเรียน	VV
ที่	CC
ต้อง	AX
พิจารณา	VV
เป็น	VV
จำนวน	NN
มาก	VV
