"	PU
สุเทพ	NN
"	PU
ปัด	VV
ตอบ	VV
กรณี	NN
ปัญหา	NN
ผบ.	NN
ตร.	NN
ย้ำ	VV
ทุกอย่าง	CL
ยุติ	VV
แล้ว	AX

รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ระบุ	VV
ปัญหา	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
จบ	VV
ลง	AV
แล้ว	AX
และ	CC
ไม่	NG
ขอ	VV
แสดง	VV
ความ	FX
คิดเห็น	VV
เกี่ยวกับ	VV
เรื่อง	NN
นี้	AJ
อีก	AV

นาย	NN
สุเทพ	NN
เทือก	NN
สุบรรณ	NN
รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ด้าน	NN
ความ	FX
มั่นคง	VV
กล่าว	VV
ถึง	PS
การ	FX
แต่งตั้ง	VV
ให้	CC
พลตำรวจ	NN
เอก	NN
วิเชียร	NN
พจน์	NN
โพธิ์	NN
ศรี	NN
ที่ปรึกษา	NN
สำนักงาน	NN
ตำรวจ	NN
แห่งชา	NN
ติพล	NN
ตำรวจ	NN
เอก	NN
พัชรวาท	NN
วงษ์	NN
สุวรรณ	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
ที่	CC
ลา	VV
ไป	AV
ปฏิบัติ	VV
ภารกิจ	NN
ใน	PS
ต่างประเทศ	NN
ว่า	CC
ปัญหา	NN
ได้	AX
ยุติ	VV
ลง	AV
แล้ว	AX

และ	CC
จะ	AX
ไม่	NG
ขอ	VV
แสดง	VV
ความ	FX
คิดเห็น	VV
และ	CC
ตอบ	VV
คำ	NN
ถาม	VV
ใน	PS
เรื่อง	NN
นี้	AJ
อีก	AV
แล้ว	AX
เพราะ	CC
ยัง	AX
มี	VV
เรื่อง	NN
ของ	PS
ประเทศ	NN
ที่	CC
สำคัญ	VV
อีก	AJ
หลาย	AJ
อย่าง	CL
ต้อง	AX
ดำเนินการ	VV

ส่วน	CC
ข้อ	NN
คิดเห็น	VV
จาก	PS
อดีต	NN
นายตำรวจ	NN
ที่	CC
แสดง	VV
ความเห็น	NN
ใน	PS
เรื่อง	NN
นี้	AJ
รัฐบาล	NN
ก็	CC
พร้อม	VV
ที่	CC
จะ	AX
รับฟัง	VV
