"	PU
สุเทพ	NN
"	PU
เผย	VV
ยัง	AX
ไม่	NG
มีการ	FX
ตั้ง	VV
รักษาการ	NN
ผบ.	NN
ตร.	NN
เพราะ	CC
ยัง	AX
ไม่	NG
มีการ	FX
ยื่น	VV
ใบ	NN
ลา	VV

รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ฝ่ายความมั่นคง	VV
ระบุ	VV
ยัง	AX
ไม่	NG
มีการ	FX
แต่งตั้ง	VV
รักษาการ	VV
ตำแหน่ง	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
แทน	VV
พล.ต.	NN
อ.	NN
พัชรวาท	NN
วงษ์	NN
สุวรรณ	NN

นาย	NN
สุเทพ	NN
เทือก	NN
สุบรรณ	NN
รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ฝ่ายความมั่นคง	VV
กล่าว	VV
ว่า	CC
ยัง	AX
ไม่	NG
ได้	AX
มีการ	FX
แต่งตั้ง	VV
รักษาการ	VV
ตำแหน่ง	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
แทน	VV
พล.ต.	NN
อ.	NN
พัชรวาท	NN
วงษ์	NN
สุวรรณ	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
หลังจาก	CC
ที่	CC
เข้า	AV
หารือ	VV
กับ	PS
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
โดย	CC
ระบุ	VV
ว่า	CC
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
ยัง	AX
ไม่	NG
ได้	AX
ยื่น	VV
ใบ	NN
ลา	VV
เพื่อ	CC
ไป	AV
ปฎิบัติ	VV
ภารกิจ	NN
ต่างประเทศ	NN

ขณะที่	CC
รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ด้าน	NN
ความ	FX
มั่นคง	VV
ขอ	VV
เวลา	NN
2	NU
วันที่	CL
จะ	AX
ให้	CC
ความ	FX
ชัดเจน	VV
เรื่อง	NN
การ	FX
แต่งตั้ง	VV
โยกย้าย	VV
ข้าราชการ	NN
ตำรวจ	NN
ของ	PS
สำนักงาน	NN
ตำรวจ	NN
แห่งชาติ	NN
ฝ่าย	NN
การเมือง	NN
ไม่	NG
เคย	AX
เข้าไป	AV
แทรกแซง	VV
โผ	NN
โยกย้าย	VV
ดัง	AJ
กล่าว	AJ

นาย	NN
สุเทพ	NN
กล่าว	VV
อีก	AV
ว่า	CC
ต้อง	AX
มีการ	FX
พิจารณา	VV
แต่งตั้ง	VV
โยกย้าย	VV
ข้าราชการ	NN
ตำรวจ	NN
ใหม่	VV
เนื่องจาก	CC
ยัง	AX
ไม่	NG
มี	VV
ความ	FX
ชัดเจน	VV
ว่าการ	CC
แต่งตั้ง	VV
ควร	AX
ประกาศ	VV
โครงสร้าง	NN
ใน	PS
ราชกิจจานุเบกษา	NN
ก่อน	AV
หรือไม่	AV
